carat,cut,color,clarity,depth,table,price,x,y,z,resid
0.23,Ideal,E,SI2,61.5,55,326,3.95,3.98,2.43,0.8196681077588986
0.21,Premium,E,SI1,59.8,61,326,3.89,3.84,2.31,0.9546564519973312
0.23,Good,E,VS1,56.9,65,327,4.05,4.07,2.31,0.8221824271078523
0.29,Premium,I,VS2,62.4,58,334,4.2,4.23,2.63,0.5694586087448941
0.31,Good,J,SI2,63.3,58,335,4.34,4.35,2.75,0.5107667958942006
0.24,Very Good,J,VVS2,62.8,57,336,3.94,3.96,2.48,0.7866560994753967
0.24,Very Good,I,VVS1,62.3,57,336,3.95,3.98,2.47,0.7866560994753967
0.26,Very Good,H,SI1,61.9,55,337,4.07,4.11,2.53,0.6899547654257906
0.22,Fair,E,VS2,65.1,61,337,3.87,3.78,2.49,0.9128559285631243
0.23,Very Good,H,VS1,59.4,61,338,4,4.05,2.39,0.8498399399463428
0.3,Good,J,SI1,64,55,339,4.25,4.28,2.73,0.5460619479880519
0.23,Ideal,J,VS1,62.8,56,340,3.93,3.9,2.46,0.8548685786442504
0.22,Premium,F,SI1,60.4,61,342,3.88,3.84,2.33,0.9263997850699953
0.31,Ideal,J,SI2,62.2,54,344,4.35,4.37,2.71,0.5244888889182239
0.2,Premium,E,SI2,60.2,62,345,3.79,3.75,2.27,1.0963721345561608
0.32,Premium,E,I1,60.9,58,345,4.38,4.42,2.68,0.49875849633392305
0.3,Ideal,I,SI2,62,54,348,4.31,4.34,2.68,0.560559167846142
0.3,Good,J,SI1,63.4,54,351,4.23,4.29,2.7,0.565391574465505
0.3,Good,J,SI1,63.8,56,351,4.23,4.26,2.71,0.565391574465505
0.3,Very Good,J,SI1,62.7,59,351,4.21,4.27,2.66,0.565391574465505
0.3,Good,I,SI2,63.3,56,351,4.26,4.3,2.71,0.565391574465505
0.23,Very Good,E,VS2,63.8,55,352,3.85,3.92,2.48,0.8850404108316938
0.23,Very Good,H,VS1,61,57,353,3.94,3.96,2.41,0.8875547301806476
0.31,Very Good,J,SI1,59.4,62,353,4.39,4.43,2.62,0.5382109819422471
0.31,Very Good,J,SI1,58.1,62,353,4.44,4.47,2.59,0.5382109819422471
0.23,Very Good,G,VVS2,60.4,58,354,3.97,4.01,2.41,0.8900690495296013
0.24,Premium,I,VS1,62.5,57,355,3.97,3.94,2.47,0.8311396289100175
0.3,Very Good,J,VS2,62.2,57,357,4.28,4.3,2.67,0.5750563877042316
0.23,Very Good,D,VS2,60.5,61,357,3.96,3.97,2.4,0.8976120075764622
0.23,Very Good,F,VS1,60.9,57,357,3.96,3.99,2.42,0.8976120075764622
0.23,Very Good,F,VS1,60,57,402,4,4.03,2.41,1.010756378279378
0.23,Very Good,F,VS1,59.8,57,402,4.04,4.06,2.42,1.010756378279378
0.23,Very Good,E,VS1,60.7,59,402,3.97,4.01,2.42,1.010756378279378
0.23,Very Good,E,VS1,59.5,58,402,4.01,4.06,2.4,1.010756378279378
0.23,Very Good,D,VS1,61.9,58,402,3.92,3.96,2.44,1.010756378279378
0.23,Good,F,VS1,58.2,59,402,4.06,4.08,2.37,1.010756378279378
0.23,Good,E,VS1,64.1,59,402,3.83,3.85,2.46,1.010756378279378
